TEMPORADA        DIVISIÓN  JORNADA   LOCAL      VISITANTE      GOL LOC   GOL VISIT  
1972-1973           1ª              9 Burgos      Sporting Gijó  2-1       2-1      
1972-1973           1ª             10 Betis       Burgos         5-1       5-1      
1972-1973           1ª             10 Real Madri  Oviedo         3-0       3-0      
1972-1973           1ª             10 Espanyol    Valencia       3-0       3-0      
1972-1973           1ª             10 Ath. Bilba  Dptivo. Coruñ  3-0       3-0      
1972-1973           1ª             10 Real Socie  Zaragoza       3-0       3-0      
1972-1973           1ª             10 Málaga (C.  Granada        3-0       3-0      
1972-1973           1ª             10 Celta       Barcelona      0-0       0-0      
1972-1973           1ª             10 Castellón   At. Madrid     1-1       1-1      
1972-1973           1ª             10 Sporting G  Las Palmas     2-2       2-2      
1972-1973           1ª             11 Betis       Real Madrid    2-1       2-1      
1972-1973           1ª             11 Oviedo      Espanyol       1-2       1-2      
1972-1973           1ª             11 Valencia    Ath. Bilbao    4-1       4-1      
1972-1973           1ª             11 Dptivo. Co  Real Sociedad  1-2       1-2      
1972-1973           1ª             11 Zaragoza    Málaga (C.D.)  1-1       1-1      
1972-1973           1ª             11 Granada     Celta          1-0       1-0      
1972-1973           1ª             11 Barcelona   Castellón      3-1       3-1      
1972-1973           1ª             11 At. Madrid  Sporting Gijó  0-1       0-1      
1972-1973           1ª             11 Burgos      Las Palmas     3-3       3-3      
1972-1973           1ª             12 Real Madri  Burgos         2-0       2-0      
1972-1973           1ª             12 Espanyol    Betis          2-2       2-2      
1972-1973           1ª             12 Ath. Bilba  Oviedo         3-3       3-3      
1972-1973           1ª             12 Real Socie  Valencia       2-1       2-1      
1972-1973           1ª             12 Málaga (C.  Dptivo. Coruñ  4-1       4-1      
1972-1973           1ª             12 Celta       Zaragoza       1-2       1-2      
1972-1973           1ª             12 Castellón   Granada        0-0       0-0      
1972-1973           1ª             12 Sporting G  Barcelona      1-1       1-1      
1972-1973           1ª             12 Las Palmas  At. Madrid     2-2       2-2      
1972-1973           1ª             13 Real Madri  Espanyol       1-0       1-0      
1972-1973           1ª             13 Betis       Ath. Bilbao    0-0       0-0      
1972-1973           1ª             13 Oviedo      Real Sociedad  1-1       1-1      
1972-1973           1ª             13 Valencia    Málaga (C.D.)  2-1       2-1      
1972-1973           1ª             13 Dptivo. Co  Celta          1-0       1-0      
1972-1973           1ª             13 Zaragoza    Castellón      0-1       0-1      
1972-1973           1ª             13 Granada     Sporting Gijó  1-0       1-0      
1972-1973           1ª             13 Barcelona   Las Palmas     3-1       3-1      
1972-1973           1ª             13 Burgos      At. Madrid     0-1       0-1      
1972-1973           1ª             14 Espanyol    Burgos         2-0       2-0      
1972-1973           1ª             14 Ath. Bilba  Real Madrid    2-1       2-1      
1972-1973           1ª             14 Real Socie  Betis          2-1       2-1      
1972-1973           1ª             14 Málaga (C.  Oviedo         1-1       1-1      
1972-1973           1ª             14 Celta       Valencia       1-0       1-0      
1972-1973           1ª             14 Castellón   Dptivo. Coruñ  2-0       2-0      
1972-1973           1ª             14 Sporting G  Zaragoza       3-0       3-0      
1972-1973           1ª             14 Las Palmas  Granada        1-0       1-0      
1972-1973           1ª             14 At. Madrid  Barcelona      2-0       2-0      
1972-1973           1ª             15 Espanyol    Ath. Bilbao    0-0       0-0      
1972-1973           1ª             15 Real Madri  Real Sociedad  6-1       6-1      
1972-1973           1ª             15 Betis       Málaga (C.D.)  0-1       0-1      
1972-1973           1ª             15 Oviedo      Celta          0-0       0-0      
1972-1973           1ª             15 Valencia    Castellón      4-2       4-2      
1972-1973           1ª             15 Dptivo. Co  Sporting Gijó  2-1       2-1      
1972-1973           1ª             15 Zaragoza    Las Palmas     1-0       1-0      
1972-1973           1ª             15 Granada     At. Madrid     0-1       0-1      
1972-1973           1ª             15 Burgos      Barcelona      0-0       0-0      
1972-1973           1ª             16 Burgos      Ath. Bilbao    5-1       5-1      
1972-1973           1ª             16 Real Socie  Espanyol       4-1       4-1      
1972-1973           1ª             16 Málaga (C.  Real Madrid    1-0       1-0      
1972-1973           1ª             16 Celta       Betis          0-0       0-0      
1972-1973           1ª             16 Castellón   Oviedo         2-0       2-0      
1972-1973           1ª             16 Sporting G  Valencia       1-1       1-1      
1972-1973           1ª             16 Las Palmas  Dptivo. Coruñ  3-0       3-0      
1972-1973           1ª             16 At. Madrid  Zaragoza       0-0       0-0      
1972-1973           1ª             16 Barcelona   Granada        3-0       3-0      
1972-1973           1ª             17 Ath. Bilba  Real Sociedad  2-1       2-1      
1972-1973           1ª             17 Espanyol    Málaga (C.D.)  1-0       1-0      
1972-1973           1ª             17 Real Madri  Celta          1-0       1-0      
1972-1973           1ª             17 Betis       Castellón      2-0       2-0      
1972-1973           1ª             17 Oviedo      Sporting Gijó  1-0       1-0      
1972-1973           1ª             17 Valencia    Las Palmas     0-0       0-0      
1972-1973           1ª             17 Dptivo. Co  At. Madrid     1-1       1-1      
1972-1973           1ª             17 Zaragoza    Barcelona      0-2       0-2      
1972-1973           1ª             17 Granada     Burgos         2-0       2-0      
1972-1973           1ª             18 Zaragoza    Granada        2-0       2-0      
1972-1973           1ª             18 Dptivo. Co  Barcelona      0-1       0-1      
1972-1973           1ª             18 Valencia    At. Madrid     1-2       1-2      
1972-1973           1ª             18 Oviedo      Las Palmas     3-0       3-0      
1972-1973           1ª             18 Betis       Sporting Gijó  2-0       2-0      
1972-1973           1ª             18 Real Madri  Castellón      2-0       2-0      
1972-1973           1ª             18 Espanyol    Celta          4-2       4-2      
1972-1973           1ª             18 Ath. Bilba  Málaga (C.D.)  2-0       2-0      
1972-1973           1ª             18 Real Socie  Burgos         5-1       5-1      
1972-1973           1ª             19 Burgos      Zaragoza       3-0       3-0      
1972-1973           1ª             19 Granada     Dptivo. Coruñ  2-0       2-0      
1972-1973           1ª             19 Barcelona   Valencia       0-0       0-0      
1972-1973           1ª             19 At. Madrid  Oviedo         2-1       2-1      
1972-1973           1ª             19 Las Palmas  Betis          2-0       2-0      
1972-1973           1ª             19 Sporting G  Real Madrid    1-0       1-0      
1972-1973           1ª             19 Castellón   Espanyol       2-0       2-0      
1972-1973           1ª             19 Celta       Ath. Bilbao    1-0       1-0      
1972-1973           1ª             19 Málaga (C.  Real Sociedad  3-0       3-0      
1972-1973           1ª             20 Dptivo. Co  Zaragoza       0-0       0-0      
1972-1973           1ª             20 Valencia    Granada        0-0       0-0      
1972-1973           1ª             20 Oviedo      Barcelona      0-0       0-0      
1972-1973           1ª             20 Betis       At. Madrid     1-0       1-0      
1972-1973           1ª             20 Real Madri  Las Palmas     2-1       2-1      
1972-1973           1ª             20 Espanyol    Sporting Gijó  3-0       3-0      
1972-1973           1ª             20 Ath. Bilba  Castellón      1-1       1-1      
1972-1973           1ª             20 Real Socie  Celta          1-0       1-0      
1972-1973           1ª             20 Málaga (C.  Burgos         3-0       3-0      
1972-1973           1ª             21 Burgos      Dptivo. Coruñ  0-0       0-0      
1972-1973           1ª             21 Zaragoza    Valencia       0-1       0-1      
1972-1973           1ª             21 Granada     Oviedo         4-0       4-0      
1972-1973           1ª             21 Barcelona   Betis          2-0       2-0      
1972-1973           1ª             21 At. Madrid  Real Madrid    1-2       1-2      
1972-1973           1ª             21 Las Palmas  Espanyol       0-2       0-2      
1972-1973           1ª             21 Sporting G  Ath. Bilbao    2-0       2-0      
1972-1973           1ª             21 Castellón   Real Sociedad  3-0       3-0      
1972-1973           1ª             21 Celta       Málaga (C.D.)  1-0       1-0      
1972-1973           1ª             22 Valencia    Dptivo. Coruñ  0-1       0-1      
1972-1973           1ª             22 Oviedo      Zaragoza       2-0       2-0      
1972-1973           1ª             22 Betis       Granada        0-0       0-0      
1972-1973           1ª             22 Real Madri  Barcelona      0-0       0-0      
1972-1973           1ª             22 Espanyol    At. Madrid     2-1       2-1      
1972-1973           1ª             22 Ath. Bilba  Las Palmas     1-0       1-0      
1972-1973           1ª             22 Real Socie  Sporting Gijó  0-0       0-0      
1972-1973           1ª             22 Málaga (C.  Castellón      1-1       1-1      
1972-1973           1ª             22 Celta       Burgos         1-0       1-0      
1972-1973           1ª             23 Burgos      Valencia       2-1       2-1      
1972-1973           1ª             23 Dptivo. Co  Oviedo         1-1       1-1      
1972-1973           1ª             23 Zaragoza    Betis          3-2       3-2      
1972-1973           1ª             23 Granada     Real Madrid    1-2       1-2      
1972-1973           1ª             23 Barcelona   Espanyol       0-1       0-1      
1972-1973           1ª             23 At. Madrid  Ath. Bilbao    2-1       2-1      
1972-1973           1ª             23 Las Palmas  Real Sociedad  1-0       1-0      
1972-1973           1ª             23 Sporting G  Málaga (C.D.)  2-0       2-0      
1972-1973           1ª             23 Castellón   Celta          5-1       5-1      
1972-1973           1ª             24 Oviedo      Valencia       3-1       3-1      
1972-1973           1ª             24 Betis       Dptivo. Coruñ  2-0       2-0      
1972-1973           1ª             24 Real Madri  Zaragoza       0-0       0-0      
1972-1973           1ª             24 Espanyol    Granada        2-1       2-1      
1972-1973           1ª             24 Ath. Bilba  Barcelona      0-1       0-1      
1972-1973           1ª             24 Real Socie  At. Madrid     0-1       0-1      
1972-1973           1ª             24 Málaga (C.  Las Palmas     0-1       0-1      
1972-1973           1ª             24 Celta       Sporting Gijó  3-0       3-0      
1972-1973           1ª             24 Castellón   Burgos         3-1       3-1      
1972-1973           1ª             25 Burgos      Oviedo         0-1       0-1      
1972-1973           1ª             25 Valencia    Betis          2-0       2-0      
1972-1973           1ª             25 Dptivo. Co  Real Madrid    0-0       0-0      
1972-1973           1ª             25 Zaragoza    Espanyol       1-0       1-0      
1972-1973           1ª             25 Granada     Ath. Bilbao    0-0       0-0      
1972-1973           1ª             25 Barcelona   Real Sociedad  1-0       1-0      
1972-1973           1ª             25 At. Madrid  Málaga (C.D.)  1-1       1-1      
1972-1973           1ª             25 Las Palmas  Celta          0-0       0-0      
1972-1973           1ª             25 Sporting G  Castellón      1-0       1-0      
1972-1973           1ª             26 Betis       Oviedo         0-0       0-0      
1972-1973           1ª             26 Real Madri  Valencia       2-1       2-1      
1972-1973           1ª             26 Espanyol    Dptivo. Coruñ  2-1       2-1      
1972-1973           1ª             26 Ath. Bilba  Zaragoza       1-0       1-0      
1972-1973           1ª             26 Real Socie  Granada        1-0       1-0      
1972-1973           1ª             26 Málaga (C.  Barcelona      2-1       2-1      
1972-1973           1ª             26 Celta       At. Madrid     0-1       0-1      
1972-1973           1ª             26 Castellón   Las Palmas     2-1       2-1      
1972-1973           1ª             26 Sporting G  Burgos         1-2       1-2      
1972-1973           1ª             27 Burgos      Betis          2-1       2-1      
1972-1973           1ª             27 Oviedo      Real Madrid    1-2       1-2      
1972-1973           1ª             27 Valencia    Espanyol       1-0       1-0      
1972-1973           1ª             27 Dptivo. Co  Ath. Bilbao    2-1       2-1      
1972-1973           1ª             27 Zaragoza    Real Sociedad  1-1       1-1      
1972-1973           1ª             27 Granada     Málaga (C.D.)  2-0       2-0      
1972-1973           1ª             27 Barcelona   Celta          2-0       2-0      
1972-1973           1ª             27 At. Madrid  Castellón      1-0       1-0      
1972-1973           1ª             27 Las Palmas  Sporting Gijó  1-1       1-1      
1972-1973           1ª             28 Real Madri  Betis          1-1       1-1      
1972-1973           1ª             28 Espanyol    Oviedo         3-0       3-0      
1972-1973           1ª             28 Ath. Bilba  Valencia       2-0       2-0      
1972-1973           1ª             28 Real Socie  Dptivo. Coruñ  2-0       2-0      
1972-1973           1ª             28 Málaga (C.  Zaragoza       2-1       2-1      
1972-1973           1ª             28 Celta       Granada        0-0       0-0      
1972-1973           1ª             28 Castellón   Barcelona      4-0       4-0      
1972-1973           1ª             28 Sporting G  At. Madrid     2-3       2-3      
1972-1973           1ª             28 Las Palmas  Burgos         4-1       4-1      
1972-1973           1ª             29 Burgos      Real Madrid    2-3       2-3      
1972-1973           1ª             29 Betis       Espanyol       2-2       2-2      
1972-1973           1ª             29 Oviedo      Ath. Bilbao    2-1       2-1      
1972-1973           1ª             29 Valencia    Real Sociedad  1-0       1-0      
1972-1973           1ª             29 Dptivo. Co  Málaga (C.D.)  1-0       1-0      
1972-1973           1ª             29 Zaragoza    Celta          2-2       2-2      
1972-1973           1ª             29 Granada     Castellón      1-1       1-1      
1972-1973           1ª             29 Barcelona   Sporting Gijó  3-1       3-1      
1972-1973           1ª             29 At. Madrid  Las Palmas     2-1       2-1      
1972-1973           1ª             30 Espanyol    Real Madrid    1-0       1-0      
1972-1973           1ª             30 Ath. Bilba  Betis          1-1       1-1      
1972-1973           1ª             30 Real Socie  Oviedo         1-2       1-2      
1972-1973           1ª             30 Málaga (C.  Valencia       1-1       1-1      
1972-1973           1ª             30 Celta       Dptivo. Coruñ  1-0       1-0      
1972-1973           1ª             30 Castellón   Zaragoza       1-1       1-1      
1972-1973           1ª             30 Sporting G  Granada        2-0       2-0      
1972-1973           1ª             30 Las Palmas  Barcelona      2-1       2-1      
1972-1973           1ª             30 At. Madrid  Burgos         4-2       4-2      
1972-1973           1ª             31 Burgos      Espanyol       1-1       1-1      
